#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-09-09T16:33:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d767ebcf079	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/131/1559&tab:{J/AJ/131/1559/table1}&key:source=J/AJ/131/1559&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/131/1559/table1
#-order=I
#-out=Seq
#-out=Name
#-out=l
#-out=Diam
#-out=R
#-out=Z
#-out=E(B-V)
#-out=logT
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_51311559
#Name: J/AJ/131/1559
#Title: Diameters of Galactic open star clusters (van den Bergh+, 2006)
#Table	J_AJ_131_1559_table1:
#Name: J/AJ/131/1559/table1
#Title: Diameters of open clusters
#Column	Seq	(I3)	Running cluster number	[ucd=meta.record]
#Column	Name	(a11)	Cluster name	[ucd=meta.id;meta.main]
#Column	l	(I3)	Truncated Galactic longitude	[ucd=pos.galactic.lon]
#Column	Diam	(F5.2)	Cluster diameter	[ucd=pos.distance]
#Column	R	(I5)	Cluster distance from the Sun	[ucd=pos.distance]
#Column	Z	(I5)	Galactic plane scale height (1)	[ucd=instr.scale;pos.galactic]
#Column	E(B-V)	(F5.2)	? The reddening from photoelectric photometry	[ucd=phot.color.excess]
#Column	logT	(F5.2)	? Log of the cluster age (2)	[ucd=time.age]
#Column	SimbadName	(a20)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Computed Right Ascension for Equinox: J2000	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Computed Declination for Equinox: J2000	[ucd=pos.eq.dec;meta.main]
Seq|Name|l[deg]|Diam[pc]|R[pc]|Z[pc]|E(B-V)|logT[yr]|SimbadName|_RA[deg]|_Dec[deg]
468|Sher 1     |289| 1.71| 5875|  -25| 1.37| 6.71|Cl Sher 1           |165.02500|-60.36667
469|Bochum 12  |289| 6.45| 2218|  -69| 0.24| 7.61|Cl Bochum 12        |164.34583|-61.73500
470|Melotte 101|289| 8.70| 1995| -193| 0.48| 7.89|Cl Melotte 101      |160.55000|-65.10000
471|Feinstein 1|290| 8.43| 1159|    8| 0.40| 7.00|Cl Feinstein 1      |166.47958|-59.81167
472|Ruprecht 93|290| 2.93| 1437|  -28| 0.23| 8.19|Cl Ruprecht 93      |166.10000|-61.36667
473|Stock 13   |290| 2.29| 1577|   44| 0.22| 7.22|Cl Stock 13         |168.27500|-58.88333
474|N3572      |290| 2.90| 1995|    7| 0.39| 6.89|NGC 3572            |167.60000|-60.25000
475|Hogg 10    |290| 1.55| 1776|    2| 0.46| 6.78|Cl Hogg 10          |167.67500|-60.36667
476|Collind.240|290| 9.17| 1577|    5| 0.31| 7.16|Cl Collinder 240    |167.80000|-60.28333
477|Hogg 11    |290| 1.32| 2277|    5| 0.32| 7.08|Cl Hogg 11          |167.88333|-60.37167
478|Trumpler 18|290| 1.98| 1358|   -3| 0.32| 7.19|Cl Trumpler 18      |167.87500|-60.66667
479|N3590      |291| 1.44| 1651|   -5| 0.45| 7.23|NGC 3590            |168.25000|-60.78333
480|N3603      |291| 0.53| 3634|  -33| 1.34| 6.84|NGC 3603            |168.78792|-61.27139
481|I2714      |292| 5.04| 1238|  -39| 0.34| 8.54|IC 2714             |169.37500|-62.73333
482|Mamajek 1  |292| 1.13|   97|  -36| 0.00| 6.90|Cl Mamajek 1        |130.52500|-79.02667
483|Melotte 105|292| 3.21| 2208|  -93| 0.48| 8.32|Cl Melotte 105      |169.87500|-63.50000
484|ESO 093-08 |293| 3.99|13700| -965| 0.64| 9.65|ESO 093-08          |169.92458|-65.21972
485|N3766      |294| 2.54| 1745|   -1| 0.18| 7.16|NGC 3766            |174.05542|-61.61528
486|N3960      |294| 3.28| 2258|  243| 0.30| 8.82|NGC 3960            |177.72500|-55.70000
487|I2944      |294|18.26| 1794|  -52| 0.32| 6.82|IC 2944             |174.58500|-63.37278
488|Stock 14   |295| 3.75| 2146|  -25| 0.22| 7.06|Cl Stock 14         |175.95000|-62.51667
489|Ruprecht 97|296| 1.97| 1357|  -12| 0.23| 8.34|Cl Ruprecht 97      |179.32500|-62.65000
490|N4052      |297| 3.17| 1209|  -19| 0.16| 8.50|NGC 4052            |180.30000|-63.21667
491|Ruprecht 98|297| 2.01|  494|  -20| 0.16| 8.51|Cl Ruprecht 98      |179.65000|-64.55833
492|N4103      |297| 2.85| 1632|   33| 0.29| 7.39|NGC 4103            |181.67792|-61.25583
493|Sauer 4    |298| 3.24| 6190| -112| 1.24| 9.18|Cl Saurer 4         |183.52500|-63.60000
494|N4337      |299| 0.57|  489|   39| 0.15| 8.45|NGC 4337            |186.02083|-58.12167
495|N4349      |299| 3.16| 2176|   32| 0.38| 8.32|NGC 4349            |186.05000|-61.86667
496|Collind.258|299| 1.72| 1184|   41| 0.16| 8.03|Cl Collinder 258    |186.81667|-60.78000
497|Hogg 14    |300| 0.85|  969|   49| 0.23| 8.10|Cl Hogg 14          |187.16250|-59.80000
498|N4439      |300| 2.08| 1785|   82| 0.35| 7.91|NGC 4439            |187.10000|-60.10000
499|N4463      |300| 1.07| 1050|  -37| 0.43| 7.50|NGC 4463            |187.50000|-64.78333
500|Collind.261|301| 5.73| 2190| -211| 0.27| 9.95|Cl Collinder 261    |189.47500|-68.46667
501|N4609      |301| 1.42| 1223|   -3| 0.33| 7.89|NGC 4609            |190.57500|-62.98333
502|Hogg 15    |302| 1.32| 2262|  -10| 1.09| 6.78|Cl Hogg 15          |190.90000|-63.10000
503|N4755      |303| 5.75| 1976|   86| 0.39| 7.22|NGC 4755            |193.42500|-60.36667
504|N4815      |303| 4.48| 3079| -113| 0.81| 8.37|NGC 4815            |194.50000|-64.95000
505|BH 144     |305| 4.08| 9354| -515| 0.60| 8.83|Cl vdBergh-Hagen 144         |198.81667|-65.92167
506|Collind.268|305| 2.86| 1963| -149| 0.31| 8.76|Cl Collinder 268    |199.70000|-67.20000
507|Rupr. 107  |305| 1.26| 1442|  -56| 0.46| 7.48|Cl Ruprecht 107     |200.15000|-64.95000
508|Stock 16   |306| 1.43| 1640|    2| 0.49| 6.92|Cl Stock 16         |199.70000|-62.51667
509|Collind.271|307| 1.70| 1169|  -33| 0.29| 8.32|Cl Collinder 271    |202.50000|-64.18333
510|Basel 18   |307| 1.94| 2226|    8| 0.52| 7.59|Cl Basel 18         |202.02500|-62.35000
511|Hogg 16    |307| 2.77| 1585|   37| 0.41| 7.05|Cl Hogg 16          |202.32500|-61.20000
512|N5138      |307| 4.04| 1986|  122| 0.26| 7.99|NGC 5138            |201.80000|-59.03333
513|Trumpler 21|307| 1.84| 1263|   -7| 0.20| 7.70|Cl Trumpler 21      |203.05000|-62.80000
514|Collind.272|307| 5.95| 2045|   43| 0.47| 7.23|Cl Collinder 272    |202.60000|-61.31667
515|N5168      |307| 2.07| 1777|   48| 0.43| 8.00|NGC 5168            |202.77500|-60.94500
516|Pismis 18  |308| 2.61| 2240|    8| 0.50| 9.08|Cl Pismis 18        |204.22500|-62.09167
517|Rupr. 108  |308| 2.62|  901|   63| 0.14| 8.42|Cl Ruprecht 108     |203.04167|-58.46667
518|Platais 11 |308|12.14|  232|  -15|     | 8.30|Cl Platais 11       |206.98750|-66.02000
519|N5281      |309| 2.26| 1108|  -14| 0.22| 7.15|NGC 5281            |206.62500|-62.91500
520|Platais 10 |309|23.15|  246|   13|     | 8.00|Cl Platais 10       |205.86667|-59.12167
521|Platais 12 |309|14.03|  402|  -10|     | 8.30|Cl Platais 12       |207.93333|-63.45333
522|N5316      |310| 4.95| 1215|    2| 0.27| 8.20|NGC 5316            |208.47500|-61.86667
523|Lynga 1    |310| 1.99| 2283|  -13| 0.46| 8.01|Cl Lynga 1          |210.02917|-62.16167
524|Alessi 6   |313| 6.10|  437|  -42| 0.19| 8.20|Cl Alessi 6         |220.05000|-66.17500
525|Lynga 2    |313| 2.91| 1000|   -8| 0.20| 8.12|Cl Lynga 2          |216.08792|-61.32250
526|Trumpler 22|314| 4.41| 1516|  -15| 0.52| 7.95|Cl Trumpler 22      |217.75000|-61.16667
527|N5617      |314| 4.46| 1533|   -3| 0.48| 7.92|NGC 5617            |217.45000|-60.71667
528|Pismis 19  |314| 2.09| 2400|  -13| 1.45| 9.00|Cl Pismis 19        |217.67500|-60.98333
529|Melotte 227|314| 2.44|  120|  -61| 0.04| 8.57|Cl Melotte 227      |303.02500|-79.31667
530|N5606      |314| 1.58| 1805|   31| 0.47| 7.08|NGC 5606            |216.94583|-59.64000
531|Hogg 17    |314| 1.52| 1310|  -21| 0.59| 8.03|Cl Hogg 17          |218.45833|-61.36333
532|N5460      |315| 6.90|  678|  148| 0.09| 8.21|NGC 5460            |211.85000|-48.33333
533|N5662      |316| 5.62|  666|   39| 0.31| 7.97|NGC 5662            |218.90000|-56.61667
534|N5749      |319| 3.00| 1031|   82| 0.38| 7.73|NGC 5749            |222.22500|-54.50000
535|Pismis 20  |320| 2.35| 2018|  -42| 1.18| 6.86|Cl Pismis 20        |228.85000|-59.06667
536|Hogg 18    |320| 2.23| 1535|  172| 0.50| 7.76|Cl Hogg 18          |222.67500|-52.26667
537|N5823      |321| 4.16| 1192|   51| 0.09| 8.90|NGC 5823            |226.43667|-55.62500
538|N5822      |321| 9.34|  917|   57| 0.15| 8.82|NGC 5822            |226.10000|-54.40000
539|N6025      |324| 3.08|  756|  -78| 0.16| 7.89|NGC 6025            |240.82500|-60.43333
540|N6005      |325| 3.91| 2690| -140| 0.45| 9.08|NGC 6005            |239.00167|-57.45167
541|N5999      |326| 1.79| 2050|  -69| 0.45| 8.60|NGC 5999            |238.05000|-56.46667
542|Alessi 8   |326| 4.02|  575|   43| 0.09| 8.15|Cl Alessi 8         |232.37500|-51.20833
543|Loden 2326 |327| 0.42|  900|   31| 0.41| 8.30|Loden 2326          |235.88750|-52.47500
544|N6087      |327| 3.63|  891|  -84| 0.18| 7.98|NGC 6087            |244.70000|-57.93333
545|BH 176     |328|11.69|13400| 1008| 0.77|     |Cl vdBergh-Hagen 176         |234.77250|-50.05056
546|Moffat 1   |328| 6.72| 3300|  -57| 1.84| 6.60|NAME MOFFAT CL      |240.37500|-54.13333
547|N6031      |329| 1.59| 1823|  -48| 0.37| 8.07|NGC 6031            |241.96417|-54.05083
548|N6067      |329| 5.77| 1417|  -55| 0.38| 8.08|NGC 6067            |243.30000|-54.21667
549|Harvard 10 |329| 9.54| 1312|  -75| 0.36| 8.34|Cl Harvard 10       |244.70000|-54.93333
550|Lynga 6    |330| 2.33| 1600|    9| 1.25| 7.43|Cl Lynga 6          |241.20000|-51.91667
551|Rupr. 115  |330| 3.14| 2160|  -32| 0.65| 8.78|Cl Ruprecht 115     |243.20000|-52.38333
552|Pismis 22  |331| 1.16| 1000|  -10| 2.00| 7.60|Cl Pismis 22        |243.53750|-51.86667
553|Rupr. 118  |332| 1.17| 1343|  -42| 0.41| 8.11|Cl Ruprecht 118     |246.15000|-51.96667
554|Rupr. 119  |333| 2.22|  956|  -31| 0.57| 6.85|Cl Ruprecht 119     |247.05000|-51.50000
555|N6208      |333| 4.92|  939|  -94| 0.21| 9.07|NGC 6208            |252.36667|-53.72833
556|Pismis 23  |334| 0.76| 2600|   20| 2.00| 8.48|Cl Pismis 23        |245.99167|-48.89167
557|N6134      |334| 1.59|  913|   -3| 0.40| 8.97|NGC 6134            |246.95000|-49.15000
558|N6167      |335| 2.26| 1108|  -28| 0.78| 7.89|NGC 6167            |248.65000|-49.76667
559|N6253      |335| 1.76| 1510| -164| 0.20| 9.70|NGC 6253            |254.77500|-52.71667
560|Rupr. 120  |336| 1.75| 2000|  -17| 0.70| 8.18|Cl Ruprecht 120     |248.85000|-48.30000
561|N6193      |336| 4.70| 1155|  -32| 0.48| 6.78|NGC 6193            |250.35000|-48.76667
562|N6200      |337| 8.36| 2054|  -38| 0.58| 6.93|NGC 6200            |251.02500|-47.46667
563|N6178      |338| 1.47| 1014|   21| 0.22| 7.25|NGC 6178            |248.95000|-45.63333
564|N6204      |338| 1.58| 1085|  -20| 0.43| 7.56|NGC 6204            |251.53333|-47.01222
565|Hogg 22    |338| 1.06| 1216|  -24| 0.65| 6.78|Cl Hogg 22          |251.64583|-47.08333
566|Westerl. 1 |339| 4.54| 5200|  -50| 3.00|     |Cl Westerlund 1     |251.76667|-45.84500
567|I4651      |340| 2.58|  888| -122| 0.12| 9.06|IC 4651             |261.20417|-49.93333
568|N6192      |340| 4.05| 1547|   57| 0.64| 8.13|NGC 6192            |250.10000|-43.36667
569|N6216      |340| 5.00| 4300|    0| 0.45| 7.54|NGC 6216            |252.35000|-44.73333
570|N6250      |340| 2.52|  865|   29| 0.35| 7.42|NGC 6250            |254.49167|-45.94333
571|N6124      |340| 5.81|  512|   54| 0.75| 8.15|NGC 6124            |246.32500|-40.65000
572|Lynga 14   |340| 0.77|  881|  -17| 1.43| 6.71|Cl Lynga 14         |253.75333|-45.33333
573|N6249      |341| 1.43|  981|  -20| 0.44| 7.39|NGC 6249            |254.40000|-44.81667
574|N6259      |341| 4.20| 1031|  -27| 0.50| 8.34|NGC 6259            |255.17500|-44.66667
575|N6231      |343| 5.06| 1243|   26| 0.44| 6.84|NGC 6231            |253.53546|-41.82667
576|Alessi 9   |344| 6.24|  195|  -30| 0.07| 8.40|Cl Alessi 9         |266.00000|-47.00000
577|Trumpler 24|344|19.86| 1138|   30| 0.42| 6.92|Cl Trumpler 24      |254.25000|-40.66667
578|N6322      |345| 1.45|  996|  -53| 0.59| 7.06|NGC 6322            |259.60000|-42.93333
579|N6242      |345| 2.96| 1131|   49| 0.38| 7.61|NGC 6242            |253.90000|-39.46667
580|N6268      |346| 1.80| 1029|   23| 0.39| 7.24|NGC 6268            |255.66833|-39.73833
581|N6281      |347| 1.11|  479|   16| 0.15| 8.50|NGC 6281            |256.17500|-37.98333
582|N6318      |347| 2.68| 2300|  -28| 1.20| 6.30|NGC 6318            |259.49375|-39.44222
583|Havlen-M 1 |348| 4.22| 2900|  -39| 1.85|     |Cl HM 1             |259.72500|-38.83333
584|BH 222     |349| 3.49| 6000|  -46| 1.85| 7.78|Cl vdBergh-Hagen 222         |259.70000|-38.28333
585|Bochum 13  |351| 4.39| 1077|   26| 0.85| 6.82|Cl Bochum 13        |259.35000|-35.55000
586|Rupr. 127  |352| 2.13| 1466|  -64| 0.99| 7.35|Cl Ruprecht 127     |264.42500|-36.26667
587|Pismis 24  |353| 2.90| 1995|   22| 1.72| 7.00|Cl Pismis 24        |261.35000|-34.43333
588|N6396      |353| 1.04| 1192|  -37| 0.93| 7.51|NGC 6396            |264.52500|-35.00000
589|Trumpler 27|355| 2.11| 1211|  -16| 1.19| 7.06|Cl Trumpler 27      |264.08333|-33.50833
590|N6383      |355| 5.73|  985|    1| 0.30| 6.96|NGC 6383            |263.70000|-32.56667
591|N6475      |355| 7.00|  301|  -24| 0.10| 8.48|NGC 6475            |268.45000|-34.78333
592|Trumpler 28|356| 1.95| 1343|   -7| 0.73| 7.29|Cl Trumpler 28      |264.25000|-32.48333
593|N6405      |356| 2.83|  487|   -7| 0.14| 7.97|NGC 6405            |265.07500|-32.20000
594|N6416      |356| 3.02|  741|  -20| 0.25| 8.09|NGC 6416            |266.10000|-32.36667
595|N6425      |357| 2.26|  778|  -22| 0.40| 7.35|NGC 6425            |266.75875|-31.50000
596|Rupr. 130  |359| 1.83| 2100|  -35| 1.20| 7.70|Cl Ruprecht 130     |266.90000|-30.11667
597|BH 245     |359| 0.29| 1000|   -9| 2.25| 7.17|Cl vdBergh-Hagen 245         |266.60000|-29.70000
598|N6451      |359| 4.24| 2080|  -58| 0.67| 8.13|NGC 6451            |267.67500|-30.21667
599|Collind.347|359| 4.40| 1514|   -9| 1.16| 7.08|Cl Collinder 347    |266.60000|-29.30000
600|Basel 5    |359| 1.11|  766|  -25| 0.32| 8.87|Cl Basel 5          |268.10000|-30.10000
