Simbad_ID,Seq,Name,l[deg],Diam[pc],R[pc],Z[pc],E(B-V),logT[yr],SimbadName,_RA[deg],_Dec[deg]
Cl_Hogg_15,502,Hogg_15,302,1.32,2262,-10, 1.09, 6.78,Hogg_15,190.9,-63.1
NGC_4755,503,NGC_4755,303,5.75,1976,86, 0.39, 7.22,NGC_4755,193.425,-60.36666999999999
NGC_4815,504,NGC_4815,303,4.48,3079,-113, 0.81, 8.37,NGC_4815,194.5,-64.95
ESO_96-4,505,vdBergh-Hagen_144,305,4.08,9354,-515, 0.60, 8.83,vdBergh-Hagen_144,198.81667,-65.92166999999999
Collinder_268,506,Collinder_268,305,2.86,1963,-149, 0.31, 8.76,Collinder_268,199.7,-67.2
Ruprecht_107,507,Ruprecht_107,305,1.26,1442,-56, 0.46, 7.48,Ruprecht_107,200.15,-64.95
Cl_Stock_16,508,Stock_16,306,1.43,1640,2, 0.49, 6.92,Stock_16,199.7,-62.51667
C_1326-639,509,Collinder_271,307,1.7,1169,-33, 0.29, 8.32,Collinder_271,202.5,-64.18333
Cl_Basel_18,510,Basel_18,307,1.94,2226,8, 0.52, 7.59,Basel_18,202.025,-62.35
Cl_Hogg_16,511,Hogg_16,307,2.77,1585,37, 0.41, 7.05,Hogg_16,202.325,-61.2
NGC_5138,512,NGC_5138,307,4.04,1986,122, 0.26, 7.99,NGC_5138,201.8,-59.03333000000001
Cl_Trumpler_21,513,Trumpler_21,307,1.84,1263,-7, 0.20, 7.70,Trumpler_21,203.05,-62.8
Cl_Collinder_272,514,Collinder_272,307,5.95,2045,43, 0.47, 7.23,Collinder_272,202.6,-61.316669999999995
NGC_5168,515,NGC_5168,307,2.07,1777,48, 0.43, 8.00,NGC_5168,202.775,-60.945
Cl_Pismis_18,516,Pismis_18,308,2.61,2240,8, 0.50, 9.08,Pismis_18,204.225,-62.09166999999999
C_1328-582,517,Ruprecht_108,308,2.62,901,63, 0.14, 8.42,Ruprecht_108,203.04166999999998,-58.46666999999999
NAME_HIP_67330_Cluster,518,Platais_11,308,12.14,232,-15,     , 8.30,Platais_11,206.9875,-66.02
NGC_5281,519,NGC_5281,309,2.26,1108,-14, 0.22, 7.15,NGC_5281,206.625,-62.915
NAME_HIP_67014_Cluster,520,Platais_10,309,23.15,246,13,     , 8.00,Platais_10,205.86667,-59.121669999999995
Cl_Platais_12,521,Platais_12,309,14.03,402,-10,     , 8.30,Platais_12,207.93333,-63.45333
NGC_5316,522,NGC_5316,310,4.95,1215,2, 0.27, 8.20,NGC_5316,208.475,-61.86666999999999
Cl_Lynga_1,523,Lynga_1,310,1.99,2283,-13, 0.46, 8.01,Lynga_1,210.02917000000002,-62.161669999999994
Cl_Alessi_6,524,Alessi_6,313,6.1,437,-42, 0.19, 8.20,Alessi_6,220.05,-66.175
Cl_Lynga_2,525,Lynga_2,313,2.91,1000,-8, 0.20, 8.12,Lynga_2,216.08792000000003,-61.3225
Cl_Trumpler_22,526,Trumpler_22,314,4.41,1516,-15, 0.52, 7.95,Trumpler_22,217.75,-61.166669999999996
NGC_5617,527,NGC_5617,314,4.46,1533,-3, 0.48, 7.92,NGC_5617,217.45,-60.71666999999999
Cl_Pismis_19,528,Pismis_19,314,2.09,2400,-13, 1.45, 9.00,Pismis_19,217.675,-60.98333
Cl_Melotte_227,529,Melotte_227,314,2.44,120,-61, 0.04, 8.57,Melotte_227,303.025,-79.31667
NGC_5606,530,NGC_5606,314,1.58,1805,31, 0.47, 7.08,NGC_5606,216.94582999999997,-59.64
Cl_Hogg_17,531,Hogg_17,314,1.52,1310,-21, 0.59, 8.03,Hogg_17,218.45833,-61.363330000000005
NGC_5460,532,NGC_5460,315,6.9,678,148, 0.09, 8.21,NGC_5460,211.85,-48.33333
NGC_5662,533,NGC_5662,316,5.62,666,39, 0.31, 7.97,NGC_5662,218.9,-56.61666999999999
NGC_5749,534,NGC_5749,319,3.0,1031,82, 0.38, 7.73,NGC_5749,222.225,-54.5
Cl_Pismis_20,535,Pismis_20,320,2.35,2018,-42, 1.18, 6.86,Pismis_20,228.85,-59.066669999999995
C_1447-520,536,Hogg_18,320,2.23,1535,172, 0.50, 7.76,Hogg_18,222.675,-52.26667
NGC_5823,537,NGC_5823,321,4.16,1192,51, 0.09, 8.90,NGC_5823,226.43667000000002,-55.625
NGC_5822,538,NGC_5822,321,9.34,917,57, 0.15, 8.82,NGC_5822,226.1,-54.4
NGC_6025,539,NGC_6025,324,3.08,756,-78, 0.16, 7.89,NGC_6025,240.825,-60.433330000000005
NGC_6005,540,NGC_6005,325,3.91,2690,-140, 0.45, 9.08,NGC_6005,239.00167000000002,-57.45166999999999
NGC_5999,541,NGC_5999,326,1.79,2050,-69, 0.45, 8.60,NGC_5999,238.05,-56.46666999999999
[KPR2004b]_362,542,Alessi_8,326,4.02,575,43, 0.09, 8.15,Alessi_8,232.375,-51.20833
Loden_2326,543,Loden_2326,327,0.42,900,31, 0.41, 8.30,Loden_2326,235.8875,-52.475
NGC_6087,544,NGC_6087,327,3.63,891,-84, 0.18, 7.98,NGC_6087,244.7,-57.933330000000005
ESO_224-8,545,vdBergh-Hagen_176,328,11.69,13400,1008, 0.77,     ,vdBergh-Hagen_176,234.7725,-50.05056
Cl_Moffat_1,546,Moffat_1,328,6.72,3300,-57, 1.84, 6.60,Moffat_1,240.375,-54.13333000000001
NGC_6031,547,NGC_6031,329,1.59,1823,-48, 0.37, 8.07,NGC_6031,241.96417000000002,-54.050830000000005
NGC_6067,548,NGC_6067,329,5.77,1417,-55, 0.38, 8.08,NGC_6067,243.3,-54.21666999999999
C_1615-548,549,Harvard_10,329,9.54,1312,-75, 0.36, 8.34,Harvard_10,244.7,-54.933330000000005
Cl_Lynga_6,550,Lynga_6,330,2.33,1600,9, 1.25, 7.43,Lynga_6,241.2,-51.91667
Cl_Ruprecht_115,551,Ruprecht_115,330,3.14,2160,-32, 0.65, 8.78,Ruprecht_115,243.2,-52.38333
Cl_Pismis_22,552,Pismis_22,331,1.16,1000,-10, 2.00, 7.60,Pismis_22,243.5375,-51.86667
NGC_6115,553,Ruprecht_118,332,1.17,1343,-42, 0.41, 8.11,Ruprecht_118,246.15,-51.96667
C_1624-514,554,Ruprecht_119,333,2.22,956,-31, 0.57, 6.85,Ruprecht_119,247.05,-51.5
NGC_6208,555,NGC_6208,333,4.92,939,-94, 0.21, 9.07,NGC_6208,252.36667000000003,-53.72833000000001
Cl_Pismis_23,556,Pismis_23,334,0.76,2600,20, 2.00, 8.48,Pismis_23,245.99167000000003,-48.89167
NGC_6134,557,NGC_6134,334,1.59,913,-3, 0.40, 8.97,NGC_6134,246.95,-49.15
NGC_6167,558,NGC_6167,335,2.26,1108,-28, 0.78, 7.89,NGC_6167,248.65,-49.76667
NGC_6253,559,NGC_6253,335,1.76,1510,-164, 0.20, 9.70,NGC_6253,254.775,-52.71666999999999
Cl_Ruprecht_120,560,Ruprecht_120,336,1.75,2000,-17, 0.70, 8.18,Ruprecht_120,248.85,-48.3
NGC_6193,561,NGC_6193,336,4.7,1155,-32, 0.48, 6.78,NGC_6193,250.35,-48.76667
NGC_6200,562,NGC_6200,337,8.36,2054,-38, 0.58, 6.93,NGC_6200,251.025,-47.46667
NGC_6178,563,NGC_6178,338,1.47,1014,21, 0.22, 7.25,NGC_6178,248.95,-45.63333
NGC_6204,564,NGC_6204,338,1.58,1085,-20, 0.43, 7.56,NGC_6204,251.53332999999998,-47.01222
Cl_Hogg_22,565,Hogg_22,338,1.06,1216,-24, 0.65, 6.78,Hogg_22,251.64583,-47.08333
Cl_Westerlund_1,566,Westerlund_1,339,4.54,5200,-50, 3.00,     ,Westerlund_1,251.76667,-45.845
IC_4651,567,IC_4651,340,2.58,888,-122, 0.12, 9.06,IC_4651,261.20417000000003,-49.93333
NGC_6192,568,NGC_6192,340,4.05,1547,57, 0.64, 8.13,NGC_6192,250.1,-43.36667
NGC_6216,569,NGC_6216,340,5.0,4300,0, 0.45, 7.54,NGC_6216,252.35,-44.73333
NGC_6250,570,NGC_6250,340,2.52,865,29, 0.35, 7.42,NGC_6250,254.49167000000003,-45.943329999999996
NGC_6124,571,NGC_6124,340,5.81,512,54, 0.75, 8.15,NGC_6124,246.325,-40.65
Cl_Lynga_14,572,Lynga_14,340,0.77,881,-17, 1.43, 6.71,Lynga_14,253.75332999999998,-45.33333
NGC_6249,573,NGC_6249,341,1.43,981,-20, 0.44, 7.39,NGC_6249,254.4,-44.81667
NGC_6259,574,NGC_6259,341,4.2,1031,-27, 0.50, 8.34,NGC_6259,255.175,-44.66667
NGC_6231,575,NGC_6231,343,5.06,1243,26, 0.44, 6.84,NGC_6231,253.53546,-41.82667
Cl_Alessi_9,576,Alessi_9,344,6.24,195,-30, 0.07, 8.40,Alessi_9,266.0,-47.0
Cl_Trumpler_24,577,Trumpler_24,344,19.86,1138,30, 0.42, 6.92,Trumpler_24,254.25,-40.66667
NGC_6322,578,NGC_6322,345,1.45,996,-53, 0.59, 7.06,NGC_6322,259.6,-42.93333
NGC_6242,579,NGC_6242,345,2.96,1131,49, 0.38, 7.61,NGC_6242,253.9,-39.46667
NGC_6268,580,NGC_6268,346,1.8,1029,23, 0.39, 7.24,NGC_6268,255.66832999999997,-39.73833
NGC_6281,581,NGC_6281,347,1.11,479,16, 0.15, 8.50,NGC_6281,256.175,-37.98333
NGC_6318,582,NGC_6318,347,2.68,2300,-28, 1.20, 6.30,NGC_6318,259.49375,-39.44222
Havlen_Moffat_1,583,Havlen_Moffat_1,348,4.22,2900,-39, 1.85,     ,Havlen_Moffat_1,259.725,-38.83333
Cl_VDBH_222,584,vdBergh-Hagen_222,349,3.49,6000,-46, 1.85, 7.78,vdBergh-Hagen_222,259.7,-38.28333
Cl_Bochum_13,585,Bochum_13,351,4.39,1077,26, 0.85, 6.82,Bochum_13,259.35,-35.55
Cl_Ruprecht_127,586,Ruprecht_127,352,2.13,1466,-64, 0.99, 7.35,Ruprecht_127,264.425,-36.26667
Cl_Pismis_24,587,Pismis_24,353,2.9,1995,22, 1.72, 7.00,Pismis_24,261.35,-34.43333
NGC_6396,588,NGC_6396,353,1.04,1192,-37, 0.93, 7.51,NGC_6396,264.525,-35.0
Cl_Trumpler_27,589,Trumpler_27,355,2.11,1211,-16, 1.19, 7.06,Trumpler_27,264.08333,-33.50833
NGC_6383,590,NGC_6383,355,5.73,985,1, 0.30, 6.96,NGC_6383,263.7,-32.56667
NGC_6475,591,NGC_6475,355,7.0,301,-24, 0.10, 8.48,NGC_6475,268.45,-34.78333
Cl_Trumpler_28,592,Trumpler_28,356,1.95,1343,-7, 0.73, 7.29,Trumpler_28,264.25,-32.48333
NGC_6405,593,NGC_6405,356,2.83,487,-7, 0.14, 7.97,NGC_6405,265.075,-32.2
NGC_6416,594,NGC_6416,356,3.02,741,-20, 0.25, 8.09,NGC_6416,266.1,-32.36667
NGC_6425,595,NGC_6425,357,2.26,778,-22, 0.40, 7.35,NGC_6425,266.75875,-31.5
Cl_Ruprecht_130,596,Ruprecht_130,359,1.83,2100,-35, 1.20, 7.70,Ruprecht_130,266.9,-30.116670000000003
Cl_VDBH_245,597,vdBergh-Hagen_245,359,0.29,1000,-9, 2.25, 7.17,vdBergh-Hagen_245,266.6,-29.7
NGC_6451,598,NGC_6451,359,4.24,2080,-58, 0.67, 8.13,NGC_6451,267.675,-30.21667
Cl_Collinder_347,599,Collinder_347,359,4.4,1514,-9, 1.16, 7.08,Collinder_347,266.6,-29.3
C_1749-300,600,Basel_5,359,1.11,766,-25, 0.32, 8.87,Basel_5,268.1,-30.1
